Date,Open,High,Low,Close
2019-03-28,182.968,183.494,182.507,183.327
2019-03-29,184.4,185.247,183.699,183.751
2019-04-01,184.631,185.637,184.401,185.459
2019-04-02,185.632,186.413,185.383,186.373
2019-04-03,186.853,186.954,186.13,186.851
2019-04-04,187.082,187.639,186.604,187.044
2019-04-05,186.606,187.759,186.378,187.685
2019-04-08,188.114,188.838,187.899,188.705
2019-04-09,188.841,189.053,188.062,188.564
2019-04-10,189.044,189.682,188.744,189.665
2019-04-11,188.866,188.92,187.105,187.325
2019-04-12,188.577,188.669,188.035,188.364
2019-04-15,187.535,187.784,187.085,187.415
2019-04-16,187.099,187.316,186.261,187.28
2019-04-17,187.861,187.914,186.553,186.601
2019-04-18,186.572,187.154,186.465,187.13
2019-04-22,188.294,188.875,187.822,187.924
2019-04-23,188.134,188.167,187.336,187.585
2019-04-24,187.192,187.568,186.444,186.495
2019-04-25,186.639,186.782,185.803,185.957
2019-04-26,184.722,185.347,183.908,184.657
2019-04-29,184.35,184.588,183.657,184.18
2019-04-30,185.611,186.075,184.005,184.25
2019-05-01,184.061,184.114,182.414,183.661
2019-05-02,182.861,182.871,181.111,181.902
2019-05-03,182.077,182.586,181.732,181.772
2019-05-06,180.291,181.043,180.206,180.681
2019-05-07,179.858,180.061,178.714,179.488
2019-05-08,179.376,180.504,179.263,179.746
2019-05-09,179.591,179.591,177.992,179.006
2019-05-10,179.289,179.566,178.766,178.954
2019-05-13,179.122,179.726,177.166,177.641
2019-05-14,178.976,180.233,178.717,179.991
2019-05-15,180.137,181.358,179.532,180.655
2019-05-16,181.742,182.648,181.672,182.325
2019-05-17,182.632,182.643,180.781,180.989
2019-05-20,181.702,182.397,181.325,181.704
2019-05-21,181.992,182.26,181.365,181.968
2019-05-22,181.237,181.423,179.22,179.544
2019-05-23,178.968,178.968,176.537,176.918
2019-05-24,178.051,178.66,177.277,178.629
2019-05-28,179.656,180.563,179.442,180.26
2019-05-29,180.019,180.796,179.011,180.339
2019-05-30,180.531,180.964,178.624,178.762
2019-05-31,177.314,177.615,175.321,175.363
2019-06-03,175.809,176.199,174.568,174.717
2019-06-04,174.381,175.739,174.238,175.49
2019-06-05,174.679,174.86,172.018,172.339
2019-06-06,172.65,173.91,172.146,173.868
2019-06-07,174.22,174.823,173.395,174.416
2019-06-10,174.068,174.982,173.809,174.071
2019-06-11,174.4,175.136,173.959,174.868
2019-06-12,173.613,174.455,173.196,173.243
2019-06-13,174.929,175.539,173.988,174.424
2019-06-14,174.557,175.627,174.495,174.809
2019-06-17,174.468,175.15,174.232,174.419
2019-06-18,173.813,176.816,173.781,176.098
2019-06-19,175.812,176.549,175.238,175.434
2019-06-20,177.887,179.112,177.495,178.628
2019-06-21,179.5,179.61,178.398,178.52
2019-06-24,178.52,180.026,178.52,179.993
2019-06-25,180.357,181.396,180.275,180.878
2019-06-26,181.873,183.179,181.672,182.365
2019-06-27,181.699,182.767,181.636,182.477
2019-06-28,182.9141,183.2618,180.8244,181.0378
2019-07-01,182.89,183.351,180.356,181.135
2019-07-02,181.013,181.303,177.729,177.843
2019-07-03,178.898,180.515,178.714,180.477
2019-07-05,180.031,180.922,179.402,180.779
2019-07-08,181.359,181.634,180.514,180.685
2019-07-09,180.429,180.837,179.285,180.708
2019-07-10,182.055,184.235,182.014,184.172
2019-07-11,184.63,184.775,183.466,183.683
2019-07-12,183.751,184.715,183.569,184.362
2019-07-15,184.173,184.179,182.649,183.082
2019-07-16,182.289,182.554,179.64,180.084
2019-07-17,180.557,181.29,179.339,179.421
2019-07-18,179.626,179.658,176.92,177.449
2019-07-19,178.785,179.169,178.011,178.585
2019-07-22,179.208,179.477,178.507,178.55
2019-07-23,178.282,179.232,177.527,179.036
2019-07-24,179.447,180.043,177.739,178.222
2019-07-25,178.941,179.388,177.777,177.884
2019-07-26,177.941,177.966,176.988,177.158
2019-07-29,177.167,177.89,176.694,177.799
2019-07-30,178.058,178.549,177.362,178.344
2019-07-31,178.69,179.279,178.159,178.526
2019-08-01,177.466,177.499,172.554,172.804
2019-08-02,173.998,174.239,173.008,173.355
2019-08-05,171.819,172.566,170.301,171.486
2019-08-06,171.859,172.343,170.405,170.54
2019-08-07,170.585,170.645,167.379,167.892
2019-08-08,169.053,170.536,168.988,170.322
2019-08-09,170.322,172.608,170.322,172.091
2019-08-12,171.508,172.027,170.295,170.623
2019-08-13,170.623,173.501,169.641,173.087
2019-08-14,172.217,172.281,169.585,170.645
2019-08-15,169.916,170.898,169.526,170.035
2019-08-16,170.258,170.553,169.697,170.405
2019-08-19,170.109,171.133,169.769,170.777
2019-08-20,170.555,171.244,169.849,170.895
2019-08-21,171.787,172.189,170.793,170.909
2019-08-22,171.213,171.674,170.031,170.322
2019-08-23,170.24,170.32,167.64,168.61
2019-08-26,169.516,170.448,168.852,168.911
2019-08-27,169.464,169.778,168.598,169.7
2019-08-28,170.592,171.601,170.401,171.202
2019-08-29,171.684,172.247,171.283,172.077
2019-08-30,171.375,172.034,169.861,170.356
2019-09-03,169.131,169.228,167.793,169.19
2019-09-04,170.254,172.934,170.254,172.695
2019-09-05,172.961,173.74,172.308,172.349
2019-09-06,172.349,173.055,170.891,172.625
2019-09-09,172.905,174.686,172.694,174.311
2019-09-10,175.124,175.78,174.704,174.94
2019-09-11,175.586,175.655,173.587,173.727
2019-09-12,173.3,174.492,172.196,174.457
2019-09-13,175.051,175.453,174.562,174.792
2019-09-16,180.349,183.328,180.22,183.165
2019-09-17,181.764,182.231,178.056,178.794
2019-09-18,178.378,178.443,177.051,177.633
2019-09-19,178.69,178.96,177.602,177.765
2019-09-20,178.514,178.794,177.227,177.337
2019-09-23,177.28,178.699,177.163,178.654
2019-09-24,178.067,178.231,176.812,177.188
2019-09-25,176.119,176.708,175.18,176.636
2019-09-26,176.977,176.99,175.05,176.228
2019-09-27,175.367,176.431,174.532,175.715
